Sector,ETF,Component
Technology,XLK,MSFT
Technology,XLK,AAPL
Technology,XLK,NVDA
Technology,XLK,AVGO
Technology,XLK,AMD
Technology,XLK,CRM
Technology,XLK,ORCL
Technology,XLK,ADBE
Technology,QQQ,MSFT
Technology,QQQ,AAPL
Technology,QQQ,AMZN
Technology,QQQ,NVDA
Technology,QQQ,GOOGL
Technology,QQQ,META
Technology,QQQ,AVGO
Technology,QQQ,TSLA
Technology,VGT,MSFT
Technology,VGT,AAPL
Technology,VGT,NVDA
Technology,VGT,AVGO
Technology,VGT,AMD
Technology,VGT,CRM
Technology,VGT,ORCL
Technology,VGT,ADBE
Technology,SOXX,NVDA
Technology,SOXX,AMD
Technology,SOXX,AVGO
Technology,SOXX,QCOM
Technology,SOXX,INTC
Technology,SOXX,MU
Technology,SOXX,TXN
Technology,SOXX,AMAT
Technology,IGV,MSFT
Technology,IGV,ADBE
Technology,IGV,CRM
Technology,IGV,ORCL
Technology,IGV,NOW
Technology,IGV,INTU
Technology,IGV,PANW
Technology,IGV,CDNS
Technology,FDN,AMZN
Technology,FDN,META
Technology,FDN,GOOG
Technology,FDN,GOOGL
Technology,FDN,NFLX
Technology,FDN,CRM
Technology,FDN,UBER
Technology,FDN,ABNB
Technology,FTEC,MSFT
Technology,FTEC,AAPL
Technology,FTEC,NVDA
Technology,FTEC,AVGO
Technology,FTEC,AMD
Technology,FTEC,CRM
Technology,FTEC,ORCL
Technology,FTEC,ADBE
Technology,CIBR,PANW
Technology,CIBR,CRWD
Technology,CIBR,ZS
Technology,CIBR,FTNT
Technology,CIBR,CHKP
Technology,CIBR,OKTA
Technology,CIBR,GEN
Technology,CIBR,NET
Technology,SKYY,NVDA
Technology,SKYY,AMZN
Technology,SKYY,MSFT
Technology,SKYY,GOOGL
Technology,SKYY,ORCL
Technology,SKYY,CRM
Technology,SKYY,AMD
Technology,SKYY,SNOW
Technology,HACK,PANW
Technology,HACK,CRWD
Technology,HACK,FTNT
Technology,HACK,ZS
Technology,HACK,NET
Technology,HACK,OKTA
Technology,HACK,VRSN
Technology,HACK,CHKP
Technology,ARKK,TSLA
Technology,ARKK,COIN
Technology,ARKK,ROKU
Technology,ARKK,SQ
Technology,ARKK,CRSP
Technology,ARKK,ZM
Technology,ARKK,PATH
Technology,ARKK,SHOP
Technology,BOTZ,NVDA
Technology,BOTZ,ISRG
Technology,BOTZ,ABB
Technology,BOTZ,FANUY
Technology,BOTZ,ABBV
Technology,BOTZ,EMR
Technology,BOTZ,ROK
Technology,BOTZ,TER
Technology,IYW,MSFT
Technology,IYW,AAPL
Technology,IYW,NVDA
Technology,IYW,AVGO
Technology,IYW,GOOGL
Technology,IYW,META
Technology,IYW,CRM
Technology,IYW,ADBE
Technology,IXN,MSFT
Technology,IXN,AAPL
Technology,IXN,NVDA
Technology,IXN,ASML
Technology,IXN,AVGO
Technology,IXN,META
Technology,IXN,GOOGL
Technology,IXN,TSM
Technology,WCLD,NET
Technology,WCLD,MDB
Technology,WCLD,DDOG
Technology,WCLD,ZS
Technology,WCLD,VEEV
Technology,WCLD,CRWD
Technology,WCLD,SNOW
Technology,WCLD,TEAM
Technology,ROBO,NVDA
Technology,ROBO,ISRG
Technology,ROBO,ABBV
Technology,ROBO,ABT
Technology,ROBO,ZBRA
Technology,ROBO,TER
Technology,ROBO,EMR
Technology,ROBO,ROK
Technology,AIQ,NVDA
Technology,AIQ,MSFT
Technology,AIQ,META
Technology,AIQ,AMZN
Technology,AIQ,GOOGL
Technology,AIQ,TSM
Technology,AIQ,AAPL
Technology,AIQ,NFLX
Technology,OGIG,MSFT
Technology,OGIG,GOOGL
Technology,OGIG,META
Technology,OGIG,NFLX
Technology,OGIG,AMZN
Technology,OGIG,UBER
Technology,OGIG,SHOP
Technology,OGIG,BABA
Technology,XITK,LRCX
Technology,XITK,AMAT
Technology,XITK,PANW
Technology,XITK,KLAC
Technology,XITK,SNPS
Technology,XITK,CDNS
Technology,XITK,ANET
Technology,XITK,MRVL
Technology,BUG,CRWD
Technology,BUG,PANW
Technology,BUG,ZS
Technology,BUG,NET
Technology,BUG,FTNT
Technology,BUG,OKTA
Technology,BUG,S
Technology,BUG,QLYS
Technology,FINX,SQ
Technology,FINX,PYPL
Technology,FINX,GPN
Technology,FINX,FIS
Technology,FINX,FISV
Technology,FINX,ADBE
Technology,FINX,INTU
Technology,FINX,NU
Technology,IRBO,AMD
Technology,IRBO,NVDA
Technology,IRBO,PLTR
Technology,IRBO,ZM
Technology,IRBO,TWLO
Technology,IRBO,SNAP
Technology,IRBO,ROKU
Technology,IRBO,U
Technology,SMH,NVDA
Technology,SMH,TSM
Technology,SMH,AVGO
Technology,SMH,ASML
Technology,SMH,AMD
Technology,SMH,QCOM
Technology,SMH,INTC
Technology,SMH,MU
Technology,SOXL,NVDA
Technology,SOXL,AMD
Technology,SOXL,AVGO
Technology,SOXL,TSM
Technology,SOXL,ASML
Technology,SOXL,QCOM
Technology,SOXL,MU
Technology,SOXL,LRCX
Technology,KWEB,BABA
Technology,KWEB,JD
Technology,KWEB,PDD
Technology,KWEB,BIDU
Technology,KWEB,NTES
Technology,KWEB,TCOM
Technology,KWEB,MELI
Technology,KWEB,SE
Technology,BLOK,COIN
Technology,BLOK,MARA
Technology,BLOK,RIOT
Technology,BLOK,MSTR
Technology,BLOK,SQ
Technology,BLOK,PYPL
Technology,BLOK,NVDA
Technology,BLOK,IBM
Healthcare,XLV,LLY
Healthcare,XLV,UNH
Healthcare,XLV,JNJ
Healthcare,XLV,MRK
Healthcare,XLV,ABBV
Healthcare,XLV,TMO
Healthcare,XLV,ABT
Healthcare,XLV,DHR
Healthcare,VHT,LLY
Healthcare,VHT,UNH
